ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,Metadata_Well,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
1,1,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,3666,4158,21,214,0,16,9.704309874522641,112.28777959629024,4.421488221428036,0.9944719871906843,68.32053989101013,1,0.8816738816738817,0.22616819268083987,212.0896864814334,197.0913493789111,11.0,5.060073513262604,5.0,20.0,22.269888412584077,-0.033103282234692256,451.3208511739212,0.9564309939994782
1,2,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,5410,6405,42,312,21,7,30.587800369685766,159.67948243992606,6.86010948982196,0.9977093616601365,82.99533683898892,1,0.8446526151444185,0.14577026816899286,322.20861627339866,304.0148022712052,10.44030650891055,4.915818757407168,5.0,20.0,21.796239181006364,0.08761433908904691,682.9188309203678,0.9369587807412539
1,3,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4638,5397,63,264,42,7,51.671841310909876,135.239758516602,5.496143204143387,0.9966455776517693,76.84585225294651,1,0.8593663146192329,0.18194576867031562,269.6322154699189,256.0175775215444,11.0,5.04098508201956,5.0,20.0,22.06638249330386,0.13199023292384018,565.9777054234136,0.9574731626754748
1,4,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4560,5355,84,262,63,7,72.67368421052632,134.31666666666666,5.399642450782888,0.9966204681035024,76.19693119799736,1,0.8515406162464986,0.18519744763007615,266.8086984068352,254.00787389370433,11.0,5.027739715655451,5.0,20.0,21.91674317566266,0.17616788414621676,556.2497833620556,0.9490114464099896
1,5,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4897,5691,105,278,84,7,93.89115785174597,142.5086787829283,5.528572915293942,0.9969765765368513,78.9623584410198,1,0.8604814619574768,0.18087850433041314,284.2039851373626,270.0166661522951,11.0,5.087704519146983,5.0,20.0,22.083410137179072,0.021137623052530564,583.2792206135786,0.9519828926905132
1,6,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4523,5376,126,263,105,7,114.42847667477338,134.84567764757904,5.168375121728706,0.9967643370864373,75.88716927674362,1,0.8413318452380952,0.1934844078549628,268.85202117989184,255.0,10.04987562112089,5.026185924279492,5.0,20.0,21.610178146274095,0.020529687938849076,541.9949493661167,0.9546222034613762
1,7,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4033,4620,147,229,126,9,136.07339449541286,117.8440366972477,4.710383523154063,0.9954121607635983,71.65874045723181,1,0.8729437229437229,0.21229693826085777,232.49442643348183,219.0570701894828,11.0,5.066750278611925,5.0,20.0,22.245027604255153,0.09271700344678815,488.5929291125633,0.9613825983313469
1,8,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4988,5796,168,283,147,7,156.93785084202085,144.51122694466721,5.695455948281764,0.9970666769656106,79.69265241626101,1,0.8605935127674258,0.1755785680866666,289.05169049494293,275.00727263110696,11.0,5.093346095034397,5.0,20.0,22.123393422740534,0.017441332555185964,597.492424049175,0.953546167080864
1,9,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,5143,5943,189,290,168,7,177.80867198133384,148.84269881392183,5.926285618116604,0.9972300770019444,80.92138764611579,1,0.8653878512535756,0.16873975782453154,297.9172118504586,282.0070921094007,11.0,5.048274338982187,5.0,20.0,22.15865989573015,-0.05036797551148631,618.8772003600252,0.9554151959873677
1,10,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_H02.TIF,0,p01,NJW,0,H02,TimePoint_1/202111125-p01-NJW_H02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4892,5670,210,277,189,7,198.71320523303353,141.90208503679477,5.673314758120046,0.9969458019660031,78.92203654775018,1,0.8627865961199295,0.1762637968515196,283.37295405580005,269.0074348414928,11.0,5.068187950191189,5.0,20.0,22.130444306593745,0.14089318613108295,590.5634918610405,0.9575259346251712
