plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,11,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3450,4053,231,200,210,7,219.8072463768116,103.34173913043479,4.058766221346911,0.9938981001879522,66.2772693261899,1,0.851221317542561,0.24638029033072711,200.13310985343443,192,11,5.0749304017303105,5,20,22.075114251836464,-0.14997764353142184,419.4802307403552,0.9610027855153204
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,12,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3701,4305,252,212,231,7,241.02620913266685,108.4750067549311,4.366128754133983,0.9945834746261814,68.64589976877598,1,0.8596980255516841,0.22903584761516016,213.59472909928206,204,11,5.07813354749812,5,20,22.201229721475386,0.023627923823884917,450.6223663640862,0.954111884506316
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,13,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,1966,3066,273,153,252,7,261.96286876907425,71.31230925737538,4.051731430499496,0.9907917421300706,50.03187928660416,2,0.6412263535551207,0.2468080664163667,158.64308099585955,145,11,4.407667130640242,4,20,21.47943173678397,-0.5657166258203196,316.38582233137674,0.731126812941614
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,14,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,1376,2961,294,148,273,7,281.6468023255814,86.25290697674419,5.72231158428286,0.9930170617392822,41.85663165563593,3,0.4647078689631881,0.17475455246908292,177.0892467122669,140.03213916812098,10,3.482514701308913,3,20,20.89136419064381,2.133468561502573,314.55739520663053,0.5237913970308337
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,15,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,1592,2289,315,116,294,7,305.1991206030151,54.687185929648244,3.0955098037544677,0.9782506566851524,45.02218736599077,1,0.6955002184359983,0.32304856498503887,102.48488334501934,108.29589096544707,11,4.486189427619156,4,20,21.25805590006604,3.8467877977316713,248.8528137423857,0.8893854748603351
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,16,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3415,3969,336,196,315,7,325.0333821376281,101.16222547584188,4.0078863835905105,0.9937322977459718,65.94022327282931,1,0.8604182413706223,0.24950807091096694,197.8881397147677,188.0239346466295,11,5.073358183610483,5,20,22.121132986584215,0.026174192704859902,414.72287142747456,0.9563147577709326
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,17,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3480,4032,357,199,336,7,346.0198275862069,102.52614942528736,4.14719832003301,0.9939030409216287,66.56480763645581,1,0.8630952380952381,0.24112664088657335,201.15284702626914,191.02355875650522,11,5.054360595579571,5,20,22.178636430374677,-0.05875038608175103,425.86500705120545,0.9515996718621821
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,18,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3441,3990,378,197,357,7,366.95175820982274,101.36762569020634,4.106319481449982,0.9937005600145894,66.19076426083699,1,0.862406015037594,0.24352708173765622,198.31786875554286,189.02380802428036,11,5.066155733241433,5,20,22.225051879557345,0.05334345333927467,421.37972567696687,0.9601004464285714
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,19,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3742,4368,399,215,378,7,388.06386958845536,109.9059326563335,4.537271414413742,0.9947294359609798,69.02508512417047,1,0.8566849816849816,0.22039677785711864,216.30534308646753,207.0024154448445,11,5.01132032364498,5,20,22.178787142733867,0.12428886503626044,461.9066376115481,0.955079122001021
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,20,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3401,3990,420,197,399,7,408.9911790649809,100.55718906204058,4.037142642482761,0.9937246728802602,65.80492148497929,1,0.8523809523809524,0.2476999423991173,197.26328798835252,189.0026454841307,11,5.064114304303982,5,20,22.06465006788606,0.02793068682326509,415.37972567696687,0.9623655913978495
